ID,Sana,Xizmat_turi,Sektor,Mintaqa,Kredit_ball,Yosh,Tajriba_yil,DSR,Joriy_kreditlar,Oldingi_default,Garov_sifati,Mulk_turi,LTV,Leverage,Foyda_stavkasi,Muddat_oy,Garov_qiymati_UZS,Moliyalash_UZS,Likvidlik,Kapital_ulushi,Sharia_audit,Gharar_darajasi,Maysir_ekspozitsiyasi,Halal_sertifikat,PLS_ulushi,Sharia_maslahatlari,Ijara_sertifikat,Sukuk_daraja,Volatillik,Inflyatsiya,YIM_osish,Valyuta_tebranishi,Sektor_osish,Bank_indeksi,Likvidlik_muhiti,Credit_LTV_ratio,Gharar_maysir,Risk_adj_ret,DSR_LTV,Macro_stress,Prev_default_rate,Sharia_adj_signal,PD,LGD,EAD_UZS,EL_UZS,VaR_95_kunlik,Sharpe_nisbati,Default
TXN-2022-0164,2022-06-24,Musharaka,Qurilish,Buxoro,691,50,2.5,0.5448,1,1,5,Sanoat uskunasi,0.8477,0.542,0.1674,24,200237423,589743882,0.1796,0.5807,0.7024,0.4049,0.0523,0,0.4892,1,0,,0.202,0.117,0.0598,0.25,0.029,1.1246,0.4756,814.1865,0.4572,0.8245,0.4618,0.3072,0.999,0.3813,0.2143,0.6,589743882,75846695,-0.0209,0.1851,0
TXN-2023-0165,2023-10-23,Murabaha,Ishlab chiqarish,Andijon,544,31,2.1,0.2734,2,0,3,Ko'chmas mulk,0.8031,0.586,0.195,84,111623606,52484606,0.7954,0.2521,0.9505,0.1011,0.1222,1,0.777,1,0,,0.0861,0.0858,0.0493,0.25,0.1002,1.1578,0.466,676.5588,0.2233,2.2393,0.2196,0.2865,0.0,0.7383,0.0671,0.45,52484606,1583748,-0.0089,0.755,1
TXN-2022-0166,2022-01-01,Ijara,Ishlab chiqarish,Buxoro,739,30,5.2,0.5516,2,0,3,Transport,0.5004,3.74,0.1099,36,233053120,98078844,0.4783,0.2819,0.5905,0.4153,0.0336,0,0.8864,3,1,,0.0912,0.0764,0.0263,0.25,0.0279,0.9832,0.7087,1473.8058,0.449,1.1921,0.2761,0.3001,0.0,0.3254,0.0619,0.35,98078844,2126583,-0.0095,-0.2201,0
TXN-2023-0167,2023-11-06,Murabaha,Ishlab chiqarish,Toshkent,705,48,4.1,0.5696,2,0,3,Transport,0.6254,5.54,0.159,36,370205046,86077399,0.7971,0.3759,0.8634,0.1921,0.2004,1,0.65,5,0,,0.1537,0.111,0.0663,0.2218,0.0487,1.1005,0.7031,1125.4096,0.3925,1.0274,0.3562,0.2665,0.0,0.5245,0.0512,0.45,86077399,1982552,-0.0159,0.1884,0
TXN-2021-0168,2021-08-06,Murabaha,Savdo,Toshkent,706,42,5.2,0.2825,3,1,3,Tovar,0.6567,2.069,0.0995,36,223957945,27282155,0.314,0.4281,0.8413,0.4411,0.1386,1,0.1385,2,0,,0.1815,0.0742,0.0757,0.25,0.0747,1.1082,0.7606,1073.4839,0.5797,0.5453,0.1855,0.2485,0.3332,0.3536,0.0761,0.45,27282155,934509,-0.0188,-0.1681,0
TXN-2024-0169,2024-07-04,Murabaha,Xizmat,Toshkent,682,22,2.0,0.4191,1,0,5,Sanoat uskunasi,0.5195,7.924,0.1721,24,102012442,137397907,0.9261,0.4898,0.4684,0.443,0.2875,1,0.3674,2,0,,0.0666,0.1117,0.0929,0.2092,0.1076,0.9943,0.4184,1310.2263,0.7305,2.545,0.2177,0.2281,0.0,0.1262,0.0491,0.45,137397907,3038143,-0.0069,0.6316,1
TXN-2022-0170,2022-09-04,Musharaka,Qurilish,Andijon,646,32,2.7,0.6681,4,0,4,Ko'chmas mulk,0.3299,3.255,0.2535,84,214877522,202505614,0.3971,0.4289,0.826,0.2042,0.0714,1,0.4745,2,0,,0.2305,0.1003,0.0442,0.2071,0.067,1.0657,0.5405,1952.388,0.2756,1.095,0.2204,0.2632,0.0,0.5984,0.1664,0.6,202505614,20213460,-0.0239,0.5357,0
TXN-2024-0171,2024-08-01,Ijara,Qurilish,Namangan,702,41,0.5,0.3137,1,0,4,Ko'chmas mulk,0.6169,2.073,0.1192,12,147140672,202075581,0.7444,0.4599,0.7422,0.2598,0.0341,1,0.2148,3,1,,0.0884,0.0995,0.0399,0.1497,0.1162,0.9876,0.3782,1136.0372,0.294,1.3344,0.1935,0.2093,0.0,0.524,0.0162,0.35,202075581,1147012,-0.0092,-0.1217,0
TXN-2023-0172,2023-11-06,Murabaha,Xizmat,Toshkent,695,46,0.5,0.5096,0,0,4,Transport,0.6904,2.364,0.0868,48,276373335,97860389,0.6846,0.6,0.7295,0.4513,0.0006,1,0.4938,0,0,,0.1371,0.0698,0.0577,0.25,0.0572,0.9814,0.6841,1005.2282,0.4519,0.6283,0.3518,0.262,0.0,0.3998,0.0743,0.45,97860389,3272571,-0.0142,-0.3154,0
TXN-2024-0173,2024-06-01,Musharaka,Qurilish,Samarqand,614,31,1.8,0.2489,1,1,3,Tovar,0.9491,4.735,0.1822,12,190228347,37035318,0.5107,0.2902,0.8561,0.1713,0.0725,1,0.2429,5,0,,0.2398,0.0992,0.0668,0.1956,0.0405,0.926,0.5795,646.2673,0.2438,0.7567,0.2362,0.228,0.999,0.6474,0.2883,0.6,37035318,6407154,-0.0248,0.2177,0
TXN-2022-0174,2022-02-12,Murabaha,Qishloq xo'jaligi,Andijon,596,21,0.5,0.3943,4,0,3,Tovar,0.5064,0.236,0.1046,36,269964865,90739100,0.7472,0.6,0.7402,0.1299,0.1174,1,0.7276,2,0,,0.1243,0.091,0.0494,0.0733,0.092,0.9922,0.6017,1174.6405,0.2473,0.8351,0.1997,0.1148,0.0,0.5572,0.0982,0.45,90739100,4008374,-0.0129,-0.2043,0
TXN-2021-0175,2021-11-10,Ijara,Qurilish,Namangan,653,43,0.7,0.3017,2,0,1,Transport,0.5588,0.46,0.1228,72,84176031,78526465,0.4275,0.18,0.8422,0.1483,0.3969,1,0.2511,1,1,,0.1121,0.0555,0.0522,0.25,0.0858,1.0015,0.614,1166.5904,0.5453,1.0851,0.1686,0.2534,0.0,0.383,0.1194,0.35,78526465,3280272,-0.0116,-0.0645,0
TXN-2023-0176,2023-02-05,Murabaha,Xizmat,Toshkent,776,25,10.1,0.4093,1,0,4,Ko'chmas mulk,0.5837,0.774,0.1734,60,247106403,176429499,0.8343,0.6,0.8241,0.0286,0.1614,1,0.2875,6,0,,0.1019,0.0823,0.0927,0.25,0.0751,1.0958,0.5006,1327.1762,0.19,1.6848,0.2389,0.2396,0.0,0.6675,0.0135,0.45,176429499,1075599,-0.0106,0.4259,0
TXN-2021-0177,2021-11-27,Ijara,Savdo,Andijon,539,21,0.5,0.532,0,1,5,Ko'chmas mulk,0.5138,5.629,0.1342,36,201566210,98984366,0.7556,0.4558,0.5386,0.0387,0.0667,1,0.0639,4,1,,0.1111,0.088,0.026,0.25,0.041,0.9303,0.3372,1046.9967,0.1054,1.1965,0.2734,0.3119,1000.0,0.4818,0.0431,0.35,98984366,1493206,-0.0115,0.0375,0
TXN-2024-0178,2024-01-10,Murabaha,Qurilish,Samarqand,520,21,6.5,0.3959,0,0,4,Ko'chmas mulk,0.8483,7.249,0.0779,48,138786905,194864943,0.7159,0.6,0.7423,0.1471,0.2476,1,0.4224,2,0,,0.1097,0.097,0.0466,0.0161,0.1352,1.2418,0.295,612.2566,0.3946,0.7039,0.3358,0.0664,0.0,0.4493,0.1401,0.45,194864943,12285680,-0.0114,-0.4748,0
TXN-2023-0179,2023-12-23,Sukuk,Xizmat,Toshkent,659,46,1.9,0.3884,4,0,2,Tovar,0.5063,1.101,0.0919,24,245093988,37997040,0.7137,0.2637,0.8941,0.3091,0.2255,1,0.1734,1,0,BBB,0.1031,0.0938,0.0361,0.25,0.0663,1.0749,0.3573,1299.1575,0.5347,0.8825,0.1967,0.3076,0.0,0.416,0.0191,0.28,37997040,202969,-0.0107,-0.3698,0
TXN-2021-0180,2021-01-02,Murabaha,Ishlab chiqarish,Namangan,649,39,12.3,0.266,2,0,4,Ko'chmas mulk,0.8299,6.438,0.1482,84,195745460,227076896,0.5953,0.05,0.8705,0.4761,0.0991,1,0.1286,1,0,,0.1012,0.0751,0.0523,0.25,0.0541,0.9857,0.4401,781.0784,0.5752,1.4509,0.2208,0.2727,0.0,0.3698,0.0561,0.45,227076896,5732064,-0.0105,0.1803,0
TXN-2024-0181,2024-05-11,Murabaha,Qurilish,Andijon,659,35,4.0,0.6315,1,0,1,Transport,0.3256,1.979,0.1954,48,226297729,208379940,0.5495,0.3183,0.7003,0.1225,0.0314,1,0.3226,2,0,,0.1215,0.0565,0.0274,0.25,0.0708,1.0129,0.8119,2017.555,0.1539,1.5949,0.2056,0.2792,0.0,0.5925,0.1217,0.45,208379940,11407625,-0.0126,0.5382,0
TXN-2022-0182,2022-10-26,Murabaha,Ishlab chiqarish,Toshkent,665,51,2.2,0.6543,1,0,2,Sanoat uskunasi,0.5404,1.603,0.1341,36,130347924,67276139,0.4315,0.2705,0.6807,0.2289,0.036,1,0.5798,1,0,,0.0891,0.084,0.097,0.25,0.0751,0.8306,0.6922,1228.3659,0.2649,1.4879,0.3536,0.237,0.0,0.5004,0.1267,0.45,67276139,3836601,-0.0092,0.0459,0
TXN-2023-0183,2023-09-28,Sukuk,Ishlab chiqarish,Namangan,626,44,4.4,0.4616,3,0,3,Boshqa,0.7007,4.471,0.1124,36,257629430,87719322,0.7477,0.1306,0.6901,0.0814,0.4,1,0.2578,5,0,BBB,0.0602,0.1296,0.0485,0.25,0.0863,0.8947,0.2609,892.1501,0.4814,1.8365,0.3234,0.331,0.0,0.3579,0.0431,0.28,87719322,1059485,-0.0062,-0.2914,0
TXN-2021-0184,2021-02-09,Sukuk,Savdo,Boshqa,771,54,2.9,0.7135,5,0,4,Boshqa,0.4847,1.975,0.1044,24,77536290,115617739,0.6418,0.3458,0.6446,0.0657,0.025,1,0.3699,4,0,BBB,0.0652,0.1288,0.0695,0.25,0.0729,0.9209,0.2,1587.4698,0.0907,1.5763,0.3458,0.3093,0.0,0.5861,0.0117,0.28,115617739,377342,-0.0068,-0.3923,0
TXN-2021-0185,2021-08-18,Murabaha,Qishloq xo'jaligi,Toshkent,508,24,5.0,0.5128,3,0,5,Boshqa,0.5776,1.515,0.1165,60,208740602,308906876,0.6578,0.492,0.8094,0.2379,0.115,1,0.5322,3,0,,0.1341,0.1127,0.0923,0.25,0.0738,1.0301,0.762,877.9529,0.3528,0.8626,0.2962,0.2704,0.0,0.5238,0.0733,0.45,308906876,10191798,-0.0139,-0.1005,0
TXN-2023-0186,2023-01-14,Ijara,Qurilish,Buxoro,574,37,0.7,0.1335,4,0,4,Sanoat uskunasi,0.6414,0.04,0.1064,36,229234473,117949381,0.6143,0.1772,0.7029,0.4896,0.0587,1,0.3548,1,1,,0.1037,0.0909,0.0689,0.25,0.0276,0.8734,0.6412,893.492,0.5483,1.0166,0.0856,0.272,0.0,0.3175,0.0594,0.35,117949381,2453282,-0.0107,-0.2278,0
TXN-2022-0187,2022-09-22,Ijara,Savdo,Toshkent,636,21,30.0,0.2365,1,1,2,Tovar,0.4205,0.032,0.1143,36,640308277,183317703,0.9574,0.6,0.9327,0.1383,0.1304,1,0.4843,1,1,,0.1151,0.1206,0.0559,0.25,0.0397,0.8766,0.6972,1509.0376,0.2687,0.9838,0.0995,0.3148,0.999,0.682,0.0288,0.35,183317703,1848568,-0.0119,-0.1367,0
TXN-2022-0188,2022-05-06,Musharaka,Savdo,Samarqand,505,35,3.3,0.3262,2,0,3,Tovar,0.832,2.469,0.2563,72,198477532,144723830,0.2985,0.541,0.9541,0.5,0.0674,1,0.3673,2,0,,0.2615,0.0687,0.0598,0.25,0.0682,1.0475,0.6831,606.2517,0.5674,0.9765,0.2714,0.2589,0.0,0.4127,0.4279,0.6,144723830,37156036,-0.0271,0.483,0
TXN-2021-0189,2021-04-29,Musharaka,Qishloq xo'jaligi,Toshkent,630,35,2.6,0.4856,2,0,3,Tovar,0.4825,0.191,0.1333,24,604850715,274369441,0.84,0.3778,0.8114,0.3712,0.4,1,0.4164,3,0,,0.3276,0.1063,0.0446,0.242,0.0923,1.1163,0.3774,1302.9725,0.7712,0.4059,0.2343,0.3037,0.0,0.1857,0.3373,0.6,274369441,55530842,-0.0339,0.0102,0
TXN-2022-0190,2022-05-09,Murabaha,IT,Namangan,786,44,7.4,0.1716,0,0,2,Boshqa,0.7785,3.338,0.1328,24,459178771,163171379,0.578,0.5226,0.7508,0.1165,0.2315,1,0.162,3,0,,0.0897,0.0913,0.0497,0.25,0.0586,1.0942,0.8256,1008.3555,0.3481,1.4649,0.1336,0.2917,0.0,0.4894,0.0743,0.45,163171379,5459035,-0.0093,0.0313,0
TXN-2024-0191,2024-03-07,Murabaha,Xizmat,Toshkent,646,38,2.7,0.438,1,1,3,Transport,0.6167,2.434,0.116,36,215681567,60840710,0.3742,0.4543,0.7251,0.2131,0.086,1,0.4835,1,0,,0.1248,0.0895,0.0954,0.1626,0.0661,1.0536,0.7324,1045.7935,0.2991,0.9225,0.2701,0.1568,0.999,0.5082,0.1317,0.45,60840710,3606084,-0.0129,-0.112,0
TXN-2021-0192,2021-06-11,Sukuk,Qurilish,Andijon,664,44,10.7,0.5504,0,0,4,Transport,0.6156,1.53,0.1326,24,234184984,121041648,0.6613,0.6,0.6405,0.2738,0.1902,1,0.2173,3,0,AAA,0.1054,0.1022,0.0677,0.25,0.0661,0.9536,0.7356,1076.8441,0.464,1.246,0.3388,0.2845,0.0,0.3433,0.042,0.28,121041648,1424906,-0.0109,0.0249,0
TXN-2021-0193,2021-06-25,Sukuk,Savdo,Toshkent,537,45,3.6,0.3523,3,2,3,Transport,0.2933,3.093,0.1096,48,121410053,293411608,0.7884,0.2008,0.8541,0.1082,0.2164,1,0.5902,2,0,AA,0.0841,0.0989,0.0467,0.25,0.0587,0.9285,0.7771,1824.7472,0.3246,1.2878,0.1033,0.3023,0.6664,0.5769,0.0252,0.28,293411608,2067600,-0.0087,-0.2426,0
TXN-2023-0194,2023-09-23,Musharaka,Qurilish,Buxoro,592,59,7.6,0.4278,3,0,5,Sanoat uskunasi,0.7344,12.0,0.2622,48,163116126,182742937,0.6979,0.5615,0.7656,0.0391,0.0446,1,0.3125,0,0,,0.2836,0.0691,0.0933,0.25,0.0524,1.1246,0.5465,805.04,0.0837,0.9214,0.3142,0.2258,0.0,0.7015,0.1913,0.6,182742937,20972661,-0.0294,0.4663,0
TXN-2021-0195,2021-05-22,Murabaha,Ishlab chiqarish,Buxoro,613,34,0.7,0.464,1,0,3,Tovar,0.4234,0.707,0.04,12,266884640,61865820,0.7316,0.3955,0.665,0.1032,0.3957,1,0.4852,1,0,,0.1697,0.1309,0.0534,0.122,0.0422,0.927,0.5085,1444.2686,0.4989,0.2343,0.1965,0.1995,0.0,0.3332,0.086,0.45,61865820,2394388,-0.0176,-0.5302,0
TXN-2023-0196,2023-12-27,Murabaha,IT,Buxoro,617,28,11.2,0.4632,0,0,3,Tovar,0.7426,2.036,0.1771,24,191713008,505659533,0.4869,0.3033,0.7108,0.1717,0.2822,1,0.1458,2,0,,0.0772,0.0991,0.0783,0.25,0.0364,1.0331,0.4236,829.6947,0.454,2.2651,0.344,0.2707,0.0,0.3881,0.1365,0.45,505659533,31070462,-0.008,0.6102,0
TXN-2021-0197,2021-09-15,Ijara,Ishlab chiqarish,Toshkent,753,40,8.0,0.3369,1,0,3,Transport,0.7567,4.626,0.093,24,395066600,95376974,0.7693,0.3135,0.6948,0.1345,0.1567,1,0.42,3,1,,0.1367,0.1353,0.0696,0.25,0.1102,0.8582,0.3643,993.8555,0.2912,0.6752,0.2549,0.3157,0.0,0.4925,0.0442,0.35,95376974,1473815,-0.0142,-0.2705,0
TXN-2021-0198,2021-09-20,Sukuk,Savdo,Boshqa,692,29,1.4,0.5333,2,0,4,Transport,0.3812,0.043,0.0853,12,344601209,279549536,0.4852,0.4268,0.6724,0.0745,0.1252,1,0.5871,3,0,A,0.0887,0.0865,0.0544,0.25,0.036,0.976,0.7124,1810.6252,0.1996,0.9505,0.2033,0.2821,0.0,0.5381,0.013,0.28,279549536,1017313,-0.0092,-0.5044,0
TXN-2024-0199,2024-09-13,Sukuk,Savdo,Namangan,550,52,0.9,0.3416,0,0,4,Boshqa,0.4676,0.569,0.0953,24,277390931,393364726,0.7862,0.0623,0.6537,0.1586,0.4,1,0.4031,0,0,AAA,0.069,0.1319,0.0459,0.25,0.0762,0.9124,0.4851,1173.777,0.5586,1.3606,0.1597,0.336,0.0,0.2885,0.0236,0.28,393364726,2600542,-0.0072,-0.5032,0
TXN-2023-0200,2023-09-01,Ijara,Qishloq xo'jaligi,Samarqand,665,35,2.3,0.428,1,0,1,Ko'chmas mulk,0.8378,1.84,0.1194,24,350304273,307398287,0.7435,0.1575,0.8279,0.0589,0.1752,1,0.5519,3,1,,0.1253,0.1034,0.0689,0.25,0.0664,1.0266,0.5991,792.84,0.234,0.9457,0.3586,0.2845,0.0,0.6341,0.1081,0.35,307398287,11626895,-0.013,-0.0843,0
TXN-2024-0201,2024-01-31,Ijara,Ishlab chiqarish,Samarqand,687,32,22.4,0.3884,2,0,5,Ko'chmas mulk,0.4621,2.009,0.1195,36,300144807,79125772,0.7029,0.4092,0.4709,0.1954,0.0677,1,0.2522,6,0,,0.0825,0.1234,0.0899,0.11,0.0639,1.0625,0.7412,1483.3715,0.2631,1.431,0.1795,0.1434,0.0,0.347,0.0285,0.35,79125772,789314,-0.0085,-0.1273,0
TXN-2021-0202,2021-12-05,Murabaha,Savdo,Samarqand,741,33,1.8,0.344,5,1,2,Sanoat uskunasi,0.5301,0.226,0.1116,60,242782676,315540560,0.4487,0.3047,0.9037,0.1669,0.0648,1,0.4515,0,0,,0.1415,0.0838,0.052,0.25,0.0878,0.8802,0.3425,1395.2404,0.2318,0.7831,0.1824,0.2817,0.2,0.6943,0.0574,0.45,315540560,8151939,-0.0147,-0.1302,0
TXN-2022-0203,2022-06-27,Murabaha,Qurilish,Samarqand,779,45,3.7,0.437,0,0,5,Ko'chmas mulk,0.3278,1.308,0.1358,24,153837035,174118615,0.8274,0.3639,0.5893,0.1697,0.2451,1,0.3973,3,0,,0.0808,0.0764,0.0712,0.25,0.0608,1.0178,0.7783,2369.2835,0.4148,1.6597,0.1433,0.2551,0.0,0.3448,0.0129,0.45,174118615,1013303,-0.0084,0.0718,0
TXN-2023-0204,2023-12-17,Sukuk,Xizmat,Namangan,558,36,0.5,0.5954,2,0,1,Transport,0.7654,1.834,0.0976,48,725605288,58493975,0.6103,0.3797,0.8937,0.188,0.0398,1,0.6325,5,0,A,0.0569,0.14,0.0404,0.25,0.0661,1.0418,0.6353,728.0849,0.2279,1.6872,0.4557,0.3496,0.0,0.6901,0.1024,0.28,58493975,1677756,-0.0059,-0.5693,0
TXN-2024-0205,2024-05-27,Musharaka,Qurilish,Buxoro,576,31,3.0,0.1916,2,0,4,Ko'chmas mulk,0.7563,1.375,0.0808,12,355240815,139208817,0.7842,0.3709,0.8323,0.1979,0.0896,1,0.4798,4,0,,0.2452,0.05,0.0673,0.2181,0.046,0.9353,0.8681,760.6388,0.2876,0.3283,0.1449,0.2008,0.0,0.593,0.1733,0.6,139208817,14476182,-0.0254,-0.2005,0
TXN-2023-0206,2023-05-17,Murabaha,Savdo,Toshkent,538,54,5.1,0.3895,3,0,4,Ko'chmas mulk,0.5351,3.015,0.1538,48,298112538,73481092,0.6323,0.6,0.805,0.2606,0.0602,1,0.4655,2,0,,0.1276,0.0767,0.0678,0.25,-0.0016,0.9799,0.527,1003.551,0.3208,1.196,0.2084,0.2589,0.0,0.5468,0.0682,0.45,73481092,2255866,-0.0132,0.1863,0
TXN-2022-0207,2022-03-10,Murabaha,Qishloq xo'jaligi,Namangan,625,29,18.4,0.221,2,0,4,Sanoat uskunasi,0.1399,3.689,0.1405,60,151024984,194621444,0.3088,0.4438,0.6412,0.3269,0.065,0,0.213,3,0,,0.1044,0.127,0.0525,0.25,0.1038,1.0987,0.4043,4435.0513,0.3919,1.3339,0.0309,0.3244,0.0,0.3899,0.0251,0.45,194621444,2195218,-0.0108,0.101,0
TXN-2024-0208,2024-01-10,Ijara,Savdo,Andijon,684,38,4.4,0.1891,2,0,2,Transport,0.5666,1.542,0.1258,48,1026398731,257118945,0.6206,0.4076,0.7447,0.1544,0.1875,1,0.203,0,1,,0.0718,0.1197,0.0448,0.25,0.0712,1.1539,0.2785,1205.0946,0.3419,1.727,0.1072,0.3249,0.0,0.4901,0.0441,0.35,257118945,3970604,-0.0074,-0.0589,0
TXN-2024-0209,2024-11-13,Murabaha,Ishlab chiqarish,Boshqa,728,44,10.3,0.2772,2,0,3,Transport,0.479,1.386,0.1201,24,157864959,325623705,0.7731,0.2009,0.8092,0.3112,0.3838,1,0.3004,1,0,,0.0838,0.123,0.0684,0.25,0.1065,0.9817,0.6185,1516.8027,0.6951,1.4162,0.1328,0.3046,0.0,0.2468,0.0384,0.45,325623705,5619624,-0.0087,-0.118,0
TXN-2022-0210,2022-02-16,Murabaha,Savdo,Andijon,638,21,4.8,0.6255,3,0,4,Ko'chmas mulk,0.5599,3.055,0.141,36,249028175,140393262,0.4334,0.1192,0.7304,0.4546,0.0706,1,0.4908,4,0,,0.0541,0.0973,0.0749,0.2199,0.049,1.0265,0.3539,1137.4719,0.5252,2.5609,0.3502,0.2423,0.0,0.3468,0.0943,0.45,140393262,5958527,-0.0056,0.2037,0
TXN-2024-0211,2024-12-31,Musharaka,Ishlab chiqarish,Toshkent,617,42,0.5,0.4366,0,0,5,Tovar,0.5032,2.026,0.0499,60,254809199,77923044,0.5773,0.2275,0.7815,0.2224,0.0341,0,0.3346,2,0,,0.3231,0.1013,0.0639,0.25,0.0579,1.0545,0.4634,1223.6764,0.2566,0.1539,0.2197,0.2874,0.0,0.581,0.1742,0.6,77923044,8143579,-0.0335,-0.248,0
TXN-2022-0212,2022-10-01,Ijara,Savdo,Boshqa,657,27,2.3,0.3418,3,0,4,Ko'chmas mulk,0.6253,5.109,0.1038,36,108029739,63790090,0.5887,0.5701,0.7952,0.0276,0.2285,1,0.4158,4,1,,0.0919,0.1063,0.0686,0.25,0.0691,1.1558,0.6671,1049.0192,0.2561,1.1176,0.2138,0.2876,0.0,0.5915,0.0311,0.35,63790090,695164,-0.0095,-0.2846,0
TXN-2023-0213,2023-03-29,Ijara,Qurilish,Andijon,574,46,5.1,0.3209,4,0,3,Ko'chmas mulk,0.5074,1.64,0.1065,24,317912919,238033483,0.4083,0.58,0.6648,0.2991,0.1815,1,0.2755,2,1,,0.1208,0.0873,0.0906,0.214,0.0453,1.0251,0.4221,1128.9623,0.4806,0.8744,0.1628,0.2107,0.0,0.3453,0.0818,0.35,238033483,6812422,-0.0125,-0.1941,0
TXN-2024-0214,2024-10-07,Murabaha,Ishlab chiqarish,Toshkent,822,28,18.0,0.4846,1,0,2,Ko'chmas mulk,0.6805,2.135,0.138,72,298596240,292809993,0.6865,0.5347,0.8379,0.3773,0.0358,1,0.222,3,0,,0.0744,0.0878,0.0768,0.25,0.0575,0.9679,0.6688,1206.1309,0.4131,1.8295,0.3298,0.261,0.0,0.4918,0.054,0.45,292809993,7113002,-0.0077,0.1074,0
TXN-2024-0215,2024-08-23,Ijara,Ishlab chiqarish,Samarqand,508,44,11.8,0.4133,4,1,4,Transport,0.314,0.345,0.1191,48,128280137,217307062,0.703,0.2833,0.7654,0.1405,0.142,0,0.4616,1,1,,0.0619,0.098,0.0368,0.1076,0.0912,0.9595,0.5886,1612.7115,0.2825,1.8933,0.1298,0.1688,0.2499,0.5492,0.0283,0.35,217307062,2150495,-0.0064,-0.176,0
TXN-2023-0216,2023-02-04,Murabaha,Xizmat,Buxoro,660,49,1.6,0.3363,1,0,3,Transport,0.6145,4.52,0.1782,60,378399945,81455739,0.8185,0.2821,0.7892,0.284,0.087,1,0.113,3,0,,0.0605,0.0984,0.0562,0.0363,0.1254,1.0494,0.8127,1072.369,0.3709,2.8977,0.2066,0.0784,0.0,0.4964,0.0679,0.45,81455739,2488089,-0.0063,0.796,0
TXN-2023-0217,2023-06-17,Murabaha,Savdo,Toshkent,817,46,1.5,0.2248,2,0,2,Transport,0.4682,1.372,0.0955,12,136374180,94679661,0.5359,0.2492,0.9473,0.0862,0.0032,1,0.2282,1,0,,0.1138,0.1001,0.0492,0.25,0.0855,0.9376,0.508,1741.0917,0.0894,0.8317,0.1053,0.3009,0.0,0.8626,0.0162,0.45,94679661,690778,-0.0118,-0.3028,0
TXN-2023-0218,2023-11-26,Ijara,Qurilish,Samarqand,645,40,1.3,0.2697,1,0,4,Boshqa,0.2915,3.174,0.1416,36,201210326,99271896,0.3712,0.4832,0.5621,0.4795,0.0735,1,0.2805,3,1,,0.1064,0.14,0.0512,0.25,0.0502,1.063,0.3522,2205.103,0.5531,1.3182,0.0786,0.3388,0.0,0.2512,0.0581,0.35,99271896,2018605,-0.011,0.1092,0
TXN-2023-0219,2023-07-14,Ijara,Savdo,Andijon,628,35,15.3,0.6119,2,0,4,Moliyaviy aktiv,0.4463,1.403,0.1801,36,152879520,51774033,0.6047,0.1167,0.8155,0.3397,0.201,0,0.627,3,0,,0.0918,0.0865,0.0525,0.25,0.0602,0.9638,0.5623,1404.0211,0.5407,1.9414,0.2731,0.2839,0.0,0.3745,0.0588,0.35,51774033,1065884,-0.0095,0.5459,0
TXN-2021-0220,2021-09-05,Ijara,IT,Toshkent,614,32,11.5,0.437,1,0,1,Sanoat uskunasi,0.6816,0.003,0.1054,48,351380432,210899998,0.7561,0.176,0.9126,0.0598,0.1591,1,0.5092,3,1,,0.0788,0.14,0.0836,0.25,0.0827,1.1021,0.7918,899.5452,0.2189,1.3203,0.2978,0.3064,0.0,0.7129,0.1246,0.35,210899998,9199781,-0.0082,-0.3126,0
TXN-2022-0221,2022-05-23,Ijara,Qurilish,Toshkent,629,52,8.9,0.3061,7,0,2,Ko'chmas mulk,0.3068,1.279,0.142,24,329811654,134136823,0.5999,0.6,0.8008,0.0533,0.0607,1,0.2498,2,1,,0.1021,0.0896,0.0315,0.25,0.0837,1.0677,0.453,2043.6221,0.114,1.3778,0.0939,0.3081,0.0,0.7095,0.0355,0.35,134136823,1666932,-0.0106,0.1175,0
TXN-2022-0222,2022-04-06,Musharaka,Qishloq xo'jaligi,Andijon,761,31,3.0,0.467,2,1,4,Sanoat uskunasi,0.6409,0.399,0.266,36,123951641,403741871,0.6206,0.2522,0.7573,0.1444,0.1123,1,0.4191,3,0,,0.2322,0.1122,0.0451,0.25,0.0482,1.0105,0.3934,1185.6028,0.2567,1.1407,0.2993,0.3171,0.4998,0.5629,0.1261,0.6,403741871,30543867,-0.0241,0.5857,0
TXN-2021-0223,2021-05-12,Murabaha,Savdo,Buxoro,456,27,4.2,0.5331,0,0,2,Ko'chmas mulk,0.4677,1.271,0.1962,48,170906661,75046801,0.6303,0.6,0.6752,0.4164,0.1907,1,0.354,5,0,,0.1269,0.096,0.053,0.2127,0.0432,1.0379,0.6502,972.8972,0.6071,1.5343,0.2494,0.2557,0.0,0.2653,0.3825,0.45,75046801,12916072,-0.0132,0.5219,0
TXN-2022-0224,2022-11-24,Murabaha,Qurilish,Andijon,775,44,3.7,0.32,1,0,5,Sanoat uskunasi,0.7049,0.969,0.1283,36,172425470,133842879,0.7875,0.5329,0.6213,0.2514,0.2146,1,0.4238,3,0,,0.0801,0.0789,0.0379,0.25,0.0954,0.9021,0.8335,1097.9584,0.466,1.5817,0.2256,0.291,0.0,0.3318,0.0273,0.45,133842879,1642981,-0.0083,-0.0206,0
