xizmat_turi,mintaqa,sektor,kredit_ball,yosh,tajriba,oldingi_kreditlar,oldingi_defaultlar,moliyalash_miqdori,muddat_oy,foyda_stavkasi,ltv_nisbati,qarz_xizmat_nisbati,likvidlik,leverage,garov_sifati,sharia_audit,gharar_darajasi,maysir_ekspozitsiya,halal_sertifikat,bozor_volatilligi,yim_osishi,inflyatsiya,valyuta_tebranishi,neft_narxi,bank_indeksi,pd_qiymati,ead,lgd,kutilgan_zarar,default_holati,risk_darajasi,risk_kodi,xizmat_enc,mintaqa_enc,sektor_enc
Ijara,Farg'ona,Eksport,686,41,12,1,0,70856,24,0.1043,0.6232,0.3108,0.8139,0.3618,2,0.7795,0.1155,0.1139,1,0.0912,0.0764,0.1196,0.0377,0.0081,0.0502,0.1138,78249,0.2895,2579,0,O'rta,1,0,1,0
Murabaha,Samarqand,Eksport,568,45,11,1,0,84252,36,0.1092,0.3639,0.4991,0.8545,0.8889,3,0.5781,0.0501,0.1495,0,0.1403,0.0766,0.1077,0.0728,-0.1626,0.1163,0.5148,98051,0.5138,25936,1,Juda Yuqori,3,1,4,0
Ijara,Samarqand,Xizmat,608,45,7,2,0,43723,36,0.1149,0.6845,0.2334,0.8574,0.5742,2,0.6612,0.226,0.1383,1,0.0785,0.0672,0.0608,0.0974,0.0546,0.1878,0.3295,51257,0.3911,6604,0,Yuqori,2,0,4,5
Murabaha,Toshkent,Savdo,598,34,13,4,0,6804,60,0.1158,0.2391,0.3453,0.3911,0.5056,4,0.8988,0.4603,0.1689,1,0.0906,0.0301,0.0826,0.0258,0.1177,0.0911,0.3151,8774,0.393,1087,0,Yuqori,2,1,5,4
Murabaha,Farg'ona,Qurilish,594,24,17,1,0,17739,24,0.1014,0.579,0.639,0.973,0.4769,4,0.55,0.375,0.1431,1,0.1359,0.0464,0.1039,0.0637,-0.1381,0.0659,0.6958,19537,0.4244,5770,0,Juda Yuqori,3,1,1,3
Ijara,Qashqadaryo,Ishlab chiqarish,689,61,22,3,0,32687,84,0.0583,0.1645,0.5643,0.5144,0.7774,1,0.7137,0.1343,0.0418,1,0.0731,0.0672,0.1046,0.0714,0.1081,0.0448,0.4181,39355,0.3577,5887,1,Yuqori,2,0,3,1
Musharaka,Namangan,Qurilish,686,27,20,2,0,24756,60,0.3541,0.6999,0.6773,0.8901,0.1545,5,0.8785,0.1663,0.086,1,0.2693,0.0363,0.1192,0.0381,-0.1648,0.0863,0.4432,46673,0.565,11685,1,Yuqori,2,2,2,3
Sukuk,Samarqand,Qishloq xo'jaligi,825,22,7,1,0,85751,84,0.0685,0.5968,0.3277,0.6442,0.5309,2,0.6239,0.2376,0.1387,1,0.0731,0.0584,0.0913,0.0258,0.0789,0.0848,0.1631,106314,0.1506,2611,0,O'rta,1,3,4,2
Ijara,Qashqadaryo,Qurilish,656,57,6,1,0,6688,60,0.0737,0.696,0.5721,0.6802,0.2001,4,0.7191,0.1604,0.0616,1,0.1184,0.0628,0.0547,0.0604,0.2784,-0.2008,0.1902,7921,0.3373,508,0,O'rta,1,0,3,3
Ijara,Farg'ona,Qurilish,687,61,15,5,0,9630,36,0.0787,0.6068,0.6983,0.8734,0.7119,3,0.9655,0.3497,0.1301,0,0.1417,0.048,0.0558,0.0131,-0.1572,0.1053,0.6157,10766,0.3869,2564,1,Juda Yuqori,3,0,1,3
Murabaha,Toshkent,Xizmat,732,50,13,1,1,83531,36,0.1504,0.667,0.5241,0.7941,0.4881,3,0.8889,0.2132,0.1723,1,0.1171,0.0454,0.1053,0.0249,-0.0618,0.0498,0.4664,102381,0.3207,15316,1,Juda Yuqori,3,1,5,5
Murabaha,Farg'ona,Qurilish,639,37,10,4,0,40464,60,0.1736,0.3917,0.2912,0.7041,0.2734,3,0.6853,0.1586,0.0063,1,0.1211,0.0585,0.0636,0.0257,-0.0284,0.0279,0.0615,58025,0.5507,1966,1,Past,0,1,1,3
Ijara,Qashqadaryo,Qurilish,671,32,11,3,1,33331,24,0.0698,0.5099,0.0973,0.8198,0.869,3,0.8665,0.1062,0.0923,1,0.0934,0.0206,0.0591,0.0382,0.119,0.1689,0.1054,35658,0.3594,1351,0,O'rta,1,0,3,3
Ijara,Toshkent,Savdo,689,53,16,0,0,73856,12,0.0558,0.3106,0.2443,0.6283,0.7321,3,0.8287,0.5,0.1319,1,0.0948,0.0382,0.1211,0.0998,-0.0047,0.0946,0.2699,75917,0.3601,7380,0,Yuqori,2,0,5,4
Sukuk,Farg'ona,Qurilish,569,55,8,0,0,126774,36,0.0487,0.3377,0.5281,0.4436,0.5094,4,0.7359,0.2995,0.048,1,0.0277,0.06,0.1272,0.0496,-0.017,0.0864,0.2482,136039,0.2141,7229,1,O'rta,1,3,1,3
Murabaha,Namangan,Qurilish,652,48,6,4,0,20238,36,0.1059,0.7435,0.4822,0.7116,0.2438,5,0.6606,0.348,0.109,1,0.108,0.0798,0.0933,0.0465,-0.0742,0.0728,0.276,23453,0.3894,2521,0,Yuqori,2,1,2,3
Murabaha,Farg'ona,Qurilish,552,34,13,2,0,121557,24,0.0771,0.744,0.733,0.7502,0.4671,4,0.8224,0.2309,0.1227,0,0.0906,0.0294,0.0486,0.0437,0.0768,0.047,0.6406,130927,0.4175,35015,1,Juda Yuqori,3,1,1,3
Ijara,Toshkent,Qurilish,710,38,13,5,1,65612,84,0.0786,0.7731,0.5531,0.836,0.748,4,0.6668,0.0519,0.0239,1,0.1512,0.0612,0.0941,0.0422,-0.0588,0.0739,0.5452,83651,0.3034,13839,1,Juda Yuqori,3,0,5,3
Murabaha,Farg'ona,Qishloq xo'jaligi,693,29,22,5,0,76315,24,0.1362,0.6528,0.1283,0.8633,0.3951,3,0.7749,0.2419,0.1808,1,0.0996,0.0623,0.0629,0.1294,0.1282,-0.0481,0.0765,86709,0.51,3383,0,Past,0,1,1,2
Sukuk,Samarqand,Savdo,591,25,15,3,1,43858,36,0.0609,0.2616,0.2945,0.6304,0.4697,3,0.9037,0.2587,0.2006,1,0.1324,0.0648,0.0994,0.0511,0.0153,-0.0873,0.325,47863,0.2681,4171,1,Yuqori,2,3,4,4
Sukuk,Farg'ona,Ishlab chiqarish,549,64,1,2,0,65284,84,0.0972,0.4712,0.3581,0.9022,0.4485,4,0.8362,0.2502,0.048,1,0.1112,0.0786,0.1427,0.0359,0.0868,0.1053,0.1207,87495,0.1,1056,0,O'rta,1,3,1,1
Musharaka,Namangan,Savdo,657,63,18,4,0,48182,60,0.2617,0.5938,0.3154,0.707,0.5403,5,0.8416,0.2061,0.2168,1,0.2398,0.0657,0.1147,0.0364,0.2182,0.0429,0.5152,79701,0.5189,21308,1,Juda Yuqori,3,2,2,4
Ijara,Buxoro,Ishlab chiqarish,584,53,3,3,0,37399,12,0.0969,0.6705,0.5133,0.8408,0.7875,2,0.55,0.0898,0.0053,1,0.0857,0.0392,0.0943,0.013,0.0386,-0.1134,0.4328,39212,0.3894,6609,0,Yuqori,2,0,0,1
Ijara,Toshkent,Ishlab chiqarish,605,50,5,3,1,42132,60,0.0766,0.5791,0.1532,0.796,0.4028,2,0.6948,0.1092,0.3105,1,0.1201,0.0535,0.0867,0.0746,-0.1388,-0.0475,0.4516,50201,0.3837,8698,1,Juda Yuqori,3,0,5,1
Murabaha,Namangan,Ishlab chiqarish,556,53,10,0,0,65917,6,0.0875,0.3354,0.2012,0.7859,0.659,2,0.7858,0.0725,0.29,1,0.1871,0.0429,0.0887,0.0618,0.1081,0.0145,0.4114,67359,0.5459,15128,1,Yuqori,2,1,2,1
Sukuk,Qashqadaryo,Qishloq xo'jaligi,524,36,14,2,0,42943,60,0.0451,0.4402,0.844,0.7559,0.7096,4,0.8048,0.1323,0.1597,1,0.1088,0.0453,0.0963,0.0628,-0.1043,-0.1252,0.6775,47788,0.1914,6198,0,Juda Yuqori,3,3,3,2
Musharaka,Qashqadaryo,Savdo,697,62,5,1,0,178594,36,0.1747,0.4062,0.262,0.6833,0.8121,5,0.7524,0.327,0.1227,0,0.2631,0.073,0.117,0.0522,-0.0411,0.1101,0.4583,225382,0.7014,72441,0,Juda Yuqori,3,2,3,4
Ijara,Buxoro,Savdo,762,55,23,1,0,78208,84,0.0755,0.623,0.3829,0.4418,0.3579,2,0.5986,0.1409,0.3999,1,0.0811,0.0426,0.0901,0.0773,0.1532,-0.0096,0.5248,98881,0.3163,16412,0,Juda Yuqori,3,0,0,4
Murabaha,Farg'ona,Xizmat,512,29,10,2,0,25089,24,0.1268,0.5227,0.3652,0.7799,0.7009,4,0.929,0.2722,0.2147,1,0.1369,0.0645,0.127,0.0683,-0.0145,-0.0906,0.4611,28271,0.3978,5186,0,Juda Yuqori,3,1,1,5
Sukuk,Namangan,Qishloq xo'jaligi,656,50,19,1,0,88890,120,0.0775,0.597,0.6315,0.7037,0.4756,2,0.6637,0.3136,0.1891,1,0.0628,0.066,0.1007,0.0429,0.1106,-0.0265,0.7214,123331,0.263,23397,0,Juda Yuqori,3,3,2,2
Murabaha,Toshkent,Qishloq xo'jaligi,555,24,23,4,0,3826,6,0.0896,0.6538,0.5219,0.9128,0.8622,5,0.8847,0.2971,0.1043,1,0.1142,0.0607,0.0972,0.0799,0.0919,-0.0363,0.3432,3912,0.5293,710,1,Yuqori,2,1,5,2
Murabaha,Namangan,Eksport,609,25,16,2,0,11951,12,0.1507,0.6347,0.5712,0.8494,0.8424,3,0.9196,0.0828,0.0761,1,0.0609,0.07,0.0904,0.0591,-0.0411,0.0359,0.3888,12852,0.4769,2383,0,Yuqori,2,1,2,0
Sukuk,Samarqand,Savdo,657,49,8,1,0,193330,84,0.0437,0.3696,0.6053,0.9488,0.1759,3,0.5617,0.4973,0.2318,1,0.119,0.059,0.1405,0.088,0.1375,-0.0953,0.4957,222919,0.2997,33117,1,Juda Yuqori,3,3,4,4
Murabaha,Farg'ona,Ishlab chiqarish,695,25,11,1,0,248242,24,0.0955,0.8574,0.4109,0.8085,0.7723,1,0.7501,0.2702,0.1697,1,0.143,0.0736,0.0914,0.0335,-0.1504,0.0244,0.8139,271947,0.4385,97054,0,Juda Yuqori,3,1,1,1
Murabaha,Qashqadaryo,Qishloq xo'jaligi,518,35,24,1,0,27092,24,0.1587,0.5286,0.3826,0.872,0.1798,4,0.8585,0.0965,0.1214,0,0.1495,0.0533,0.0854,0.0913,0.0746,0.1737,0.1777,31391,0.5146,2871,0,O'rta,1,1,3,2
Sukuk,Samarqand,Savdo,670,63,10,1,0,95558,24,0.0817,0.6652,0.1627,0.6734,0.8964,1,0.55,0.1577,0.1695,0,0.0513,0.0739,0.1161,0.0175,0.3982,0.0226,0.6277,103364,0.253,16414,1,Juda Yuqori,3,3,4,4
Sukuk,Farg'ona,Eksport,656,55,23,2,0,76786,84,0.0778,0.5772,0.5331,0.9079,0.7116,1,0.8876,0.0418,0.1374,1,0.0685,0.0664,0.1148,0.0598,-0.064,-0.0528,0.2444,97692,0.1587,3788,0,O'rta,1,3,1,0
Musharaka,Namangan,Ishlab chiqarish,715,33,13,2,0,64058,84,0.2195,0.595,0.38,0.6496,0.1803,4,0.8912,0.1815,0.0534,1,0.274,0.0569,0.1511,0.0437,0.1374,0.0562,0.3883,113269,0.5276,23206,0,Yuqori,2,2,2,1
Musharaka,Qashqadaryo,Xizmat,741,26,3,3,0,36160,12,0.1681,0.617,0.2176,0.8757,0.5931,3,0.6986,0.3425,0.0096,1,0.2364,0.0905,0.1036,0.033,-0.2277,0.1979,0.393,39199,0.5337,8222,0,Yuqori,2,2,3,5
Musharaka,Toshkent,Ishlab chiqarish,751,29,16,7,1,29463,120,0.3688,0.6123,0.4915,0.5807,0.7268,2,0.7929,0.0811,0.1042,1,0.2383,0.0656,0.0947,0.0502,-0.0101,0.0502,0.8429,83796,0.514,36306,1,Juda Yuqori,3,2,5,1
Murabaha,Namangan,Ishlab chiqarish,645,45,6,1,0,4163,36,0.1402,0.7934,0.7782,0.5608,0.1592,5,0.6425,0.0213,0.0019,1,0.0931,0.0652,0.0831,0.0703,0.0741,0.0074,0.2644,5039,0.4689,625,0,Yuqori,2,1,2,1
Murabaha,Farg'ona,Xizmat,627,52,14,4,0,20734,36,0.1604,0.7527,0.3335,0.8442,0.7653,5,0.8265,0.1933,0.2368,1,0.1109,0.0382,0.1229,0.0306,0.0057,0.0403,0.2881,25722,0.5362,3974,1,Yuqori,2,1,1,5
Ijara,Samarqand,Ishlab chiqarish,655,34,20,2,0,21128,12,0.0714,0.5844,0.2315,0.3784,0.295,1,0.55,0.222,0.0151,1,0.0944,0.0581,0.0774,0.0389,-0.0199,0.1328,0.3749,21882,0.3566,2926,1,Yuqori,2,0,4,1
Ijara,Farg'ona,Qishloq xo'jaligi,681,24,18,4,1,27105,36,0.0605,0.3933,0.2352,0.789,0.1503,3,0.9223,0.2134,0.1084,0,0.1048,0.0683,0.1083,0.0839,0.002,0.0937,0.1576,29565,0.4038,1881,0,O'rta,1,0,1,2
Ijara,Samarqand,Qishloq xo'jaligi,609,57,13,2,0,64080,60,0.1284,0.8036,0.2659,0.7854,0.566,4,0.7877,0.3847,0.0991,1,0.1381,0.0899,0.0824,0.0251,0.0982,-0.0024,0.4008,84643,0.3283,11139,0,Yuqori,2,0,4,2
Ijara,Farg'ona,Ishlab chiqarish,850,51,14,1,0,42437,84,0.0569,0.5359,0.1726,0.8313,0.6404,4,0.6418,0.1137,0.031,1,0.0813,0.0512,0.1036,0.0348,0.1249,0.0348,0.015,50885,0.5091,388,0,Past,0,0,1,1
Murabaha,Buxoro,Qurilish,665,50,6,4,0,17490,36,0.076,0.4151,0.5034,0.5864,0.5499,2,0.8098,0.2367,0.1885,1,0.1772,0.0522,0.1504,0.0879,-0.0247,0.1044,0.707,19484,0.3351,4616,1,Juda Yuqori,3,1,0,3
Musharaka,Buxoro,Qurilish,724,30,16,6,0,48823,60,0.2765,0.6422,0.1501,0.9472,0.7647,2,0.8202,0.2579,0.1937,0,0.2308,0.0472,0.0989,0.0328,0.202,0.0481,0.6821,82568,0.6515,36692,0,Juda Yuqori,3,2,0,3
Murabaha,Namangan,Savdo,565,24,9,3,0,132618,6,0.1448,0.7315,0.7356,0.8713,0.728,4,0.8886,0.1175,0.3505,1,0.1018,0.052,0.0983,0.0102,-0.0265,0.1292,0.7981,137419,0.3993,43798,1,Juda Yuqori,3,1,2,4
Musharaka,Toshkent,Qurilish,662,39,9,1,0,43092,84,0.3155,0.4772,0.2387,0.5868,0.3243,3,0.873,0.223,0.0966,1,0.1969,0.0408,0.1068,0.0611,-0.003,0.0641,0.4347,90675,0.5148,20291,1,Yuqori,2,2,5,3
Musharaka,Namangan,Savdo,613,60,14,1,0,74871,12,0.2675,0.6239,0.4047,0.7386,0.6642,2,0.8843,0.1603,0.0764,1,0.2646,0.0512,0.0867,0.0231,-0.0662,-0.0772,0.8145,84886,0.6224,43033,1,Juda Yuqori,3,2,2,4
Sukuk,Namangan,Eksport,695,56,18,5,1,210958,60,0.0506,0.6977,0.0576,0.7045,0.7244,4,0.7115,0.0483,0.0319,0,0.1099,0.0291,0.1114,0.0429,-0.2058,-0.0465,0.1736,237637,0.3511,14482,0,O'rta,1,3,2,0
Murabaha,Buxoro,Eksport,722,64,2,1,0,139783,24,0.1624,0.5978,0.5016,0.8394,0.7827,3,0.9545,0.0235,0.1846,1,0.1524,0.0822,0.0783,0.0457,-0.0475,0.0064,0.2498,162491,0.4186,16992,0,O'rta,1,1,0,0
Murabaha,Buxoro,Xizmat,529,51,18,2,1,130924,24,0.1739,0.4631,0.4797,0.7889,0.4772,3,0.619,0.2339,0.219,1,0.1048,0.0318,0.0595,0.0657,0.0932,0.0509,0.7015,153686,0.4113,44343,0,Juda Yuqori,3,1,0,5
Murabaha,Buxoro,Savdo,678,23,11,3,0,30706,24,0.1037,0.522,0.7394,0.7274,0.4501,3,0.9308,0.2761,0.0921,0,0.1531,0.0568,0.1,0.0376,-0.0511,0.0914,0.6861,33891,0.3218,7483,1,Juda Yuqori,3,1,0,4
Ijara,Qashqadaryo,Savdo,638,59,21,3,0,21604,24,0.0533,0.4811,0.3198,0.7361,0.6085,4,0.8709,0.2166,0.2067,1,0.1114,0.0399,0.0712,0.0032,0.0231,-0.1248,0.1056,22755,0.4822,1159,0,O'rta,1,0,3,4
Musharaka,Namangan,Savdo,740,23,8,0,0,36880,60,0.3317,0.5022,0.5485,0.8153,0.6719,3,0.6221,0.0774,0.1382,1,0.2624,0.0824,0.0666,0.0745,-0.1011,0.0867,0.5464,67464,0.5961,21974,1,Juda Yuqori,3,2,2,4
Murabaha,Farg'ona,Qurilish,566,50,4,2,1,51897,6,0.1569,0.9479,0.4859,0.6104,0.728,3,0.9129,0.2382,0.0786,1,0.1014,0.0766,0.0966,0.0323,0.1186,0.0464,0.8893,53933,0.3185,15277,0,Juda Yuqori,3,1,1,3
Murabaha,Toshkent,Xizmat,614,60,15,1,0,15490,60,0.1248,0.5603,0.057,0.8866,0.736,3,0.8103,0.3191,0.139,1,0.1706,0.0271,0.085,0.0726,-0.2148,0.0883,0.2407,20323,0.5319,2602,1,O'rta,1,1,5,5
Ijara,Samarqand,Qishloq xo'jaligi,728,33,17,1,0,56872,24,0.0641,0.6618,0.4238,0.8856,0.4099,3,0.6527,0.1337,0.0491,1,0.1077,0.0615,0.0911,0.0163,0.0142,-0.0593,0.1329,60517,0.2781,2237,0,O'rta,1,0,4,2
Murabaha,Farg'ona,Qurilish,739,26,5,3,0,88048,12,0.14,0.5026,0.1965,0.7089,0.102,4,0.7853,0.3509,0.0831,1,0.0868,0.063,0.0988,0.0646,0.0746,-0.0019,0.0446,94213,0.5479,2302,0,Past,0,1,1,3
Ijara,Farg'ona,Xizmat,615,62,10,3,0,46975,60,0.1232,0.5583,0.2507,0.6922,0.7155,3,0.8297,0.1315,0.0786,0,0.0528,0.0527,0.1161,0.0359,-0.1093,0.1164,0.2109,61440,0.2774,3594,1,O'rta,1,0,1,5
Ijara,Buxoro,Eksport,675,28,5,2,1,48997,36,0.1141,0.9146,0.5465,0.8138,0.2438,4,0.8457,0.2396,0.3101,1,0.0954,0.0811,0.1364,0.0685,-0.182,0.0227,0.7023,57387,0.3049,12288,1,Juda Yuqori,3,0,0,0
Murabaha,Buxoro,Xizmat,654,34,22,4,0,14312,12,0.0772,0.7602,0.3654,0.5038,0.4092,3,0.9066,0.0266,0.1069,1,0.0819,0.0541,0.0835,0.0429,0.046,0.1919,0.2125,14865,0.5205,1644,0,O'rta,1,1,0,5
Murabaha,Samarqand,Ishlab chiqarish,647,26,21,1,0,75352,24,0.145,0.623,0.2371,0.8754,0.5078,4,0.6608,0.1558,0.0509,1,0.1629,0.0568,0.083,0.0202,-0.036,0.0907,0.0627,86279,0.4704,2546,0,Past,0,1,4,1
Sukuk,Namangan,Eksport,633,47,6,3,1,76296,120,0.0454,0.7095,0.433,0.7703,0.5078,4,0.7447,0.0163,0.0204,0,0.0962,0.0359,0.0924,0.0739,-0.1797,0.1055,0.167,93605,0.3797,5934,0,O'rta,1,3,2,0
Murabaha,Toshkent,Qishloq xo'jaligi,687,40,1,3,0,181237,36,0.1054,0.3535,0.3817,0.7546,0.5306,3,0.7609,0.2106,0.37,1,0.1283,0.0643,0.0771,0.0864,-0.0481,-0.0319,0.3316,209903,0.5091,35430,0,Yuqori,2,1,5,2
Murabaha,Buxoro,Xizmat,760,43,17,3,0,17782,60,0.1477,0.5721,0.7124,0.771,0.8483,3,0.8946,0.284,0.0827,1,0.1432,0.0811,0.115,0.0258,0.0702,-0.0641,0.5218,24349,0.4819,6122,0,Juda Yuqori,3,1,0,5
Ijara,Samarqand,Savdo,772,56,18,2,1,54783,60,0.1209,0.6198,0.1734,0.7507,0.8752,4,0.9568,0.2493,0.0273,1,0.0547,0.0447,0.0907,0.0204,-0.0687,-0.0163,0.0896,71335,0.3043,1944,0,Past,0,0,4,4
Sukuk,Samarqand,Savdo,442,43,10,3,0,90364,120,0.0747,0.634,0.3351,0.5716,0.8361,3,0.5959,0.1611,0.0394,1,0.1043,0.0641,0.1087,0.031,0.1155,0.07,0.7552,124122,0.3804,35653,0,Juda Yuqori,3,3,4,4
Sukuk,Qashqadaryo,Qurilish,591,51,12,3,0,215444,120,0.0499,0.5236,0.4306,0.693,0.4124,5,0.8383,0.0537,0.053,0,0.0511,0.048,0.0556,0.0347,-0.0498,0.1621,0.0389,269164,0.3357,3515,0,Past,0,3,3,3
Ijara,Farg'ona,Ishlab chiqarish,580,50,16,1,0,15153,84,0.1089,0.5065,0.2299,0.6605,0.411,3,0.7151,0.0362,0.2463,1,0.109,0.0452,0.0731,0.0264,-0.1141,0.0275,0.1186,20930,0.4638,1151,0,O'rta,1,0,1,1
Murabaha,Namangan,Qishloq xo'jaligi,624,53,14,2,0,19094,6,0.0973,0.5727,0.414,0.7063,0.4471,5,0.7978,0.1177,0.1525,1,0.0998,0.0455,0.0624,0.0576,0.1542,0.1037,0.0873,19559,0.5021,857,0,Past,0,1,2,2
Murabaha,Namangan,Ishlab chiqarish,540,49,8,2,0,333949,12,0.0888,0.4726,0.3365,0.7259,0.5211,3,0.6641,0.3188,0.3083,1,0.1451,0.0359,0.1227,0.066,-0.2158,0.142,0.6774,348769,0.4168,98483,1,Juda Yuqori,3,1,2,1
Ijara,Samarqand,Savdo,721,28,18,3,1,3587903,12,0.0805,0.7331,0.4803,0.9244,0.302,3,0.7994,0.2044,0.1514,1,0.0635,0.0573,0.0806,0.0134,0.1224,-0.0723,0.3702,3732333,0.3632,501870,0,Yuqori,2,0,4,4
Musharaka,Buxoro,Xizmat,783,23,3,3,0,134618,60,0.2928,0.5162,0.5866,0.9316,0.3651,3,0.6141,0.0924,0.2106,1,0.2667,0.0486,0.1081,0.0419,0.0964,0.0773,0.4367,233158,0.6663,67842,0,Yuqori,2,2,0,5
Musharaka,Namangan,Qurilish,727,46,21,4,0,49567,60,0.3502,0.676,0.3052,0.7627,0.6294,3,0.6685,0.1659,0.4,1,0.1995,0.0589,0.0817,0.0706,-0.1192,0.1556,0.7435,92957,0.6545,45229,0,Juda Yuqori,3,2,2,3
Sukuk,Farg'ona,Qishloq xo'jaligi,626,39,5,5,1,94787,84,0.0667,0.95,0.596,0.5381,0.4624,4,0.7106,0.1373,0.2684,1,0.1205,0.0539,0.0791,0.0102,0.1061,0.1014,0.7758,116920,0.3806,34525,1,Juda Yuqori,3,3,1,2
Murabaha,Namangan,Qishloq xo'jaligi,695,60,19,3,1,522693,24,0.1609,0.6386,0.2906,0.7453,0.7782,2,0.8094,0.0092,0.3068,1,0.117,0.051,0.1215,0.0598,0.0267,0.1071,0.4999,606819,0.3406,103328,0,Juda Yuqori,3,1,2,2
Musharaka,Qashqadaryo,Ishlab chiqarish,800,28,14,2,0,6460,60,0.1269,0.451,0.1367,0.4201,0.2844,3,0.8088,0.0933,0.04,1,0.2751,0.063,0.1295,0.0623,0.0918,0.0023,0.1713,8510,0.5676,827,0,O'rta,1,2,3,1
Murabaha,Qashqadaryo,Eksport,745,53,13,3,0,185388,24,0.1357,0.4783,0.5715,0.6517,0.4704,4,0.9233,0.3715,0.1152,1,0.1413,0.0589,0.1216,0.0699,0.3207,0.0608,0.404,210539,0.4974,42305,1,Yuqori,2,1,3,0
Musharaka,Namangan,Savdo,705,45,15,1,0,25117,60,0.3433,0.5959,0.2491,0.6177,0.7878,2,0.868,0.2082,0.0888,1,0.2454,0.0569,0.1079,0.0408,-0.1317,-0.0476,0.6679,46673,0.5829,18171,0,Juda Yuqori,3,2,2,4
Murabaha,Qashqadaryo,Qishloq xo'jaligi,668,25,18,4,0,19353,60,0.1081,0.6818,0.3904,0.713,0.2888,1,0.7658,0.4288,0.0631,1,0.151,0.0337,0.0629,0.0686,-0.218,0.0844,0.6645,24584,0.4169,6810,0,Juda Yuqori,3,1,3,2
Murabaha,Samarqand,Ishlab chiqarish,758,29,16,0,0,282778,6,0.1238,0.5473,0.2243,0.7776,0.384,3,0.8302,0.1846,0.1201,1,0.1236,0.0682,0.1158,0.0592,-0.2363,-0.0378,0.0728,291528,0.4591,9746,0,Past,0,1,4,1
Murabaha,Farg'ona,Xizmat,711,26,22,2,0,86150,24,0.0781,0.4836,0.3644,0.6992,0.114,2,0.6581,0.1586,0.1419,1,0.1077,0.0562,0.1267,0.0406,-0.0432,0.1394,0.1401,92879,0.3881,5049,0,O'rta,1,1,1,5
Ijara,Qashqadaryo,Qishloq xo'jaligi,563,23,17,5,0,83779,12,0.1008,0.6779,0.4732,0.7134,0.3444,4,0.8852,0.1638,0.1602,0,0.1009,0.0314,0.1049,0.0452,0.1462,0.0157,0.4195,88001,0.2009,7416,1,Yuqori,2,0,3,2
Ijara,Samarqand,Qishloq xo'jaligi,757,32,3,4,1,85709,84,0.0757,0.6589,0.1867,0.8054,0.4835,3,0.837,0.2146,0.2044,1,0.083,0.0622,0.1135,0.0475,0.2065,0.0445,0.1703,108428,0.2496,4611,0,O'rta,1,0,4,2
Musharaka,Buxoro,Xizmat,468,54,13,2,0,192712,24,0.2993,0.9001,0.4347,0.8969,0.2715,2,0.9062,0.0459,0.2654,0,0.2259,0.0739,0.1027,0.0749,-0.1402,0.1231,0.9395,250398,0.6345,149270,1,Juda Yuqori,3,2,0,5
Sukuk,Namangan,Ishlab chiqarish,656,34,12,1,0,11358,84,0.0946,0.5277,0.593,0.7519,0.2254,3,0.5533,0.0974,0.2688,1,0.0956,0.0477,0.0813,0.0019,0.0603,0.1853,0.278,15118,0.3204,1347,0,Yuqori,2,3,2,1
Murabaha,Toshkent,Qishloq xo'jaligi,588,22,16,1,0,94094,24,0.1122,0.735,0.4294,0.738,0.6891,4,0.7291,0.2199,0.0584,1,0.0849,0.0652,0.1038,0.0641,0.0789,0.1237,0.3963,104653,0.3983,16518,0,Yuqori,2,1,5,2
Murabaha,Samarqand,Qurilish,529,24,24,4,0,284177,6,0.1562,0.8061,0.5604,0.6575,0.1343,3,0.8228,0.2793,0.1621,1,0.142,0.0775,0.1183,0.0536,-0.026,0.0781,0.7458,295272,0.5672,124897,0,Juda Yuqori,3,1,4,3
Sukuk,Samarqand,Xizmat,638,47,10,4,0,133218,24,0.0467,0.6217,0.2952,0.7414,0.7347,4,0.8507,0.1713,0.0458,1,0.0962,0.0422,0.0985,0.0849,0.0433,-0.0806,0.0644,139440,0.1472,1321,0,Past,0,3,4,5
Murabaha,Samarqand,Xizmat,612,51,2,0,0,39924,6,0.1403,0.4982,0.4672,0.5481,0.2292,2,0.8053,0.0253,0.4,1,0.1391,0.0563,0.1322,0.0862,0.2243,-0.0431,0.6938,41324,0.3957,11346,1,Juda Yuqori,3,1,4,5
Sukuk,Buxoro,Savdo,514,31,8,2,0,62046,120,0.0772,0.332,0.1413,0.726,0.7914,3,0.8924,0.2836,0.0653,1,0.0845,0.0408,0.1189,0.0954,0.1025,0.0262,0.1843,85991,0.201,3185,0,O'rta,1,3,0,4
Murabaha,Toshkent,Qurilish,587,64,19,3,0,18275,12,0.1413,0.9219,0.4734,0.7055,0.3984,4,0.7494,0.1142,0.0604,1,0.1039,0.0328,0.1119,0.023,0.2394,0.0105,0.3549,19566,0.4014,2787,0,Yuqori,2,1,5,3
Sukuk,Namangan,Qishloq xo'jaligi,595,44,10,2,0,167196,36,0.095,0.6858,0.44,0.7355,0.2116,4,0.882,0.0628,0.3071,1,0.0538,0.0517,0.1042,0.0652,0.0222,0.0852,0.1339,191019,0.4041,10338,0,O'rta,1,3,2,2
Murabaha,Samarqand,Savdo,563,61,5,3,0,50775,60,0.1534,0.6836,0.5605,0.6289,0.729,2,0.7655,0.3684,0.2357,1,0.0842,0.0731,0.1069,0.0983,0.0153,0.0344,0.9376,70253,0.47,30962,1,Juda Yuqori,3,1,4,4
